codigo,tipo,cuenta,tipo_catalogo
1121070301,,Emitidos por empresas privadas - ML,4
1121070302,,Emitidos por empresas privadas - ME,4
1121070501,,Emitidos por bancos - ML,4
1121070502,,Emitidos por bancos - ME,4
1121070601,,Emitidos por otras entidades del Sistema Financiero - ML,4
1121070602,,Emitidos por otras entidades del Sistema Financiero - ME,4
1121070701,,Emitidos por entidades del extranjero - ML,4
1121070702,,Emitidos por entidades del extranjero - ME,4
1128,,DOCUMENTOS VENCIDOS,4
112801,,OPERACIONES DE REPORTO CON EL BANCO CENTRAL DE RESERVA,4
1128010101,,Emitidos por el Banco Central de Reserva - ML,4
1128010102,,Emitidos por el Banco Central de Reserva - ME,4
1128010201,,Emitidos por entidades del Estado - ML,4
1128010202,,Emitidos por entidades del Estado - ME,4
1128010301,,Emitidos por empresas privadas - ML,4
1128010302,,Emitidos por empresas privadas - ME,4
1128010501,,Emitidos por bancos - ML,4
1128010502,,Emitidos por bancos - ME,4
1128010601,,Emitidos por otras entidades del Sistema Financiero - ML,4
1128010602,,Emitidos por otras entidades del Sistema Financiero - ME,4
1128010701,,Emitidos por entidades del extranjero - ML,4
1128010702,,Emitidos por entidades del extranjero - ME,4
112802,,OPERACIONES DE REPORTO CON ENTIDADES DEL ESTADO,4
1128020101,,Emitidos por el Banco Central de Reserva - ML,4
1128020102,,Emitidos por el Banco Central de Reserva - ME,4
1128020201,,Emitidos por entidades del Estado - ML,4
1128020202,,Emitidos por entidades del Estado - ME,4
1128020301,,Emitidos por empresas privadas - ML,4
1128020302,,Emitidos por empresas privadas - ME,4
1128020501,,Emitidos por bancos - ML,4
1128020502,,Emitidos por bancos - ME,4
1128020601,,Emitidos por otras entidades del Sistema Financiero - ML,4
1128020602,,Emitidos por otras entidades del Sistema Financiero - ME,4
1128020701,,Emitidos por entidades del extranjero - ML,4
1128020702,,Emitidos por entidades del extranjero - ME,4
112803,,OPERACIONES DE REPORTO CON EMPRESAS PRIVADAS,4
1128030101,,Emitidos por el Banco Central de Reserva - ML,4
1128030102,,Emitidos por el Banco Central de Reserva - ME,4
1128030201,,Emitidos por entidades del Estado - ML,4
1128030202,,Emitidos por entidades del Estado - ME,4
1128030301,,Emitidos por empresas privadas - ML,4
1128030302,,Emitidos por empresas privadas - ME,4
1128030501,,Emitidos por bancos - ML,4
1128030502,,Emitidos por bancos - ME,4
1128030601,,Emitidos por otras entidades del Sistema Financiero - ML,4
1128030602,,Emitidos por otras entidades del Sistema Financiero - ME,4
1128030701,,Emitidos por entidades del extranjero - ML,4
1128030702,,Emitidos por entidades del extranjero - ME,4
