Codigo,Tipo,Cuenta,tipo_catalogo
120502020306,,Otros,8
12050203,,Mantenimiento,8
1205020301,,Insumos y Materiales,8
120502030101,,Fertilizantes Quimicos,8
120502030102,,Plaguicidas,8
120502030103,,Nematicidas,8
120502030104,,Insecticidas,8
120502030105,,Otros,8
1205020302,,Mano de obra directa,8
120502030201,,Aplicacion de fertilizantes quimicos,8
120502030202,,Establecimiento de sombra,8
120502030203,,Riego de agua,8
120502030204,,Aplicacion de plaguicidas,8
120502030205,,Aplicacion de nematicidas,8
120502030206,,Aplicacion de insecticidas,8
120502030207,,Otros,8
1205020303,,Costos indirectos de explotacion,8
120502030301,,Implementos agricolas,8
120502030302,,Supervision,8
120502030303,,Vigilancia,8
120502030304,,Servicio de agua,8
120502030305,,Energia electrica,8
120502030306,,Otros,8
120503,,Plantaciones en desarrollo,8
12050301,,Preparacion de la tierra,8
1205030101,,Insumos y Materiales,8
120503010101,,Fertilizantes,8
120503010102,,Insecticidas,8
120503010103,,Funguicidas,8
120503010104,,Herbicidas,8
120503010105,,Plaguicidas,8
120503010106,,Nematicidas,8
120503010107,,Otros,8
1205030102,,Mano de obra directa,8
120503010201,,Aplicacion de fertilizantes,8
120503010202,,Aplicacion de insecticidas,8
120503010203,,Aplicacion de funguicidas,8
120503010204,,Aplicacion de herbicidas,8
120503010205,,Aplicacion de plaguicidas,8
120503010206,,Aplicacion de nematicidas,8
120503010207,,Trazado y estaquillado,8
120503010208,,Ahoyado,8
120503010209,,Tratamiento de hoyos,8
120503010210,,Abonado de hoyos,8
120503010211,,Chapoda,8
120503010212,,Peina negra,8
120503010213,,Placeado,8
120503010214,,Otros,8
1205030103,,Costos indirectos de explotacion,8
120503010301,,Implementos agricolas,8
120503010302,,Supervision,8
120503010303,,Vigilancia,8
120503010304,,Servicio de agua,8
120503010305,,Energia electrica,8
120503010306,,Honorarios,8
120503010307,,Intereses por credito de avio,8
120503010308,,Otros,8
12050302,,Siembra,8
1205030201,,Insumos y Materiales,8
120503020101,,Plantias,8
120503020102,,Arboles de sombra temporal,8
120503020103,,Arboles de sombra semipermanente,8
120503020104,,Arboles de sombra permanentes,8
120503020105,,Arboles para cortinas rompevientos,8
120503020106,,Otros,8
1205030202,,Mano de obra directa,8
120503020201,,Siembra de plantias,8
120503020202,,Siembra de arboles de sombra temporal,8
120503020203,,Siembra de arboles de sombra semipermanentes,8
120503020204,,Siembra de arboles de sombra permanente,8
120503020205,,Siembra de arboles para cortinas rompevientos,8
120503020206,,Otros,8
1205030203,,Costos indirectos de explotacion,8
120503020301,,Implementos agricolas,8
120503020302,,Supervision,8
120503020303,,Vigilancia,8
120503020304,,Servicio de agua,8
120503020305,,Energia electrica,8
120503020306,,Transporte,8
120503020307,,Acarreo de arbolitos,8
120503020308,,Intereses por credito de avio,8
120503020309,,Otros,8
12050303,,Mantenimiento para el cultivo en desarrollo,8
1205030301,,Insumos y Materiales,8
120503030101,,Plantias,8
120503030102,,Arboles de sombra temporal,8
120503030103,,Arboles de sombra semipermanente,8
120503030104,,Arboles de sombra permanentes,8
120503030105,,Arboles para cortinas rompevientos,8
120503030106,,Fertilizantes Quimicos,8
120503030107,,Fertilizantes Organicos,8
120503030108,,Insecticidas,8
120503030109,,Funguicidas,8
120503030110,,Plaguicidas,8
120503030111,,Nematicidas,8
120503030112,,Herbicidas,8
120503030113,,Otros,8
1205030302,,Mano de obra directa,8
120503030201,,Deshije,8
120503030202,,Poda de cafetos,8
120503030203,,Poda de arboles de sombra semipermanentes,8
120503030204,,Poda de arboles de sombre permanente,8
120503030205,,Agobio,8
120503030206,,Peina blanca o chapoda,8
120503030207,,Peina negra,8
120503030208,,Placeado,8
120503030209,,Tratamiento de hoyos,8
120503030210,,Aplicacion de fertilizantes quimicos,8
120503030211,,Aplicacion de fertilizantes organicos,8
120503030212,,Aplicacion de insecticidas,8
120503030213,,Aplicacion de funguicidas,8
120503030214,,Aplicacion de plaguicidas,8
120503030215,,Aplicacion de nematicidas,8
120503030216,,Aplicacion de herbicidas,8
120503030217,,Otros,8
1205030303,,Costos indirectos de explotacion,8
120503030301,,Implementos agricolas,8
120503030302,,Supervision,8
120503030303,,Vigilancia,8
120503030304,,Servicio de agua,8
120503030305,,Energia electrica,8
120503030306,,Intereses por credito de avio,8
120503030307,,Otros,8
4,,Cuentas de resultado deudoras,8
41,,Costos,8
4101,,Costos de explotacion-cafe,8
410101,,Mantenimiento,8
41010101,,Insumos y Materiales,8
4101010101,,Fertilizantes Quimicos,8
4101010102,,Fertilizantes Organicos,8
4101010103,,Funguicidas,8
4101010104,,Herbicidas,8
4101010105,,Plaguicidas,8
4101010106,,Nematicidas,8
4101010107,,Insecticidas,8
4101010108,,Otros,8
41010102,,Mano de obra directa,8
4101010201,,Fertilizacion de cafe,8
4101010202,,Fertilizacion de arboles de sombra,8
4101010203,,Fertilizacion de cortinas rompevientos,8
4101010204,,Poda de cafe,8
4101010205,,Agobio,8
4101010206,,Poda de arboles de sombra,8
4101010207,,Poda de cortinas rompevientos,8
4101010208,,Deshije,8
4101010209,,Aplicacion de insecticidas,8
4101010210,,Aplicacion de funguicidas,8
4101010211,,Aplicacion de herbicidas,8
